country,year,income_index,ecological_integrity_index,resilience_index,governance_capacity_index,technology_capability_index,justice_equity_index,planetary_pressure_index,institutional_stress_index
Asteria,2021,0.64,0.70,0.66,0.71,0.55,0.62,0.48,0.44
Asteria,2022,0.66,0.71,0.68,0.73,0.57,0.64,0.46,0.42
Asteria,2023,0.67,0.73,0.70,0.75,0.59,0.66,0.44,0.40
Asteria,2024,0.69,0.74,0.72,0.77,0.61,0.68,0.42,0.38
Asteria,2025,0.70,0.76,0.74,0.79,0.64,0.70,0.40,0.36
Borealis,2021,0.74,0.48,0.52,0.57,0.67,0.49,0.69,0.62
Borealis,2022,0.76,0.46,0.50,0.56,0.70,0.47,0.72,0.65
Borealis,2023,0.78,0.44,0.49,0.54,0.73,0.45,0.75,0.68
Borealis,2024,0.79,0.42,0.47,0.52,0.75,0.43,0.78,0.70
Borealis,2025,0.80,0.40,0.46,0.51,0.77,0.42,0.80,0.72
Calyx,2021,0.52,0.77,0.61,0.58,0.38,0.69,0.39,0.51
Calyx,2022,0.54,0.79,0.64,0.61,0.40,0.71,0.37,0.49
Calyx,2023,0.56,0.81,0.67,0.63,0.42,0.73,0.35,0.46
Calyx,2024,0.58,0.83,0.70,0.65,0.45,0.75,0.33,0.44
Calyx,2025,0.60,0.85,0.73,0.67,0.47,0.78,0.31,0.42
Deltora,2021,0.50,0.51,0.42,0.45,0.33,0.38,0.66,0.75
Deltora,2022,0.51,0.50,0.41,0.44,0.34,0.37,0.68,0.77
Deltora,2023,0.52,0.48,0.40,0.43,0.35,0.36,0.70,0.79
Deltora,2024,0.51,0.47,0.38,0.42,0.36,0.35,0.72,0.81
Deltora,2025,0.50,0.45,0.36,0.40,0.37,0.34,0.74,0.83
